,mean_2004_2010,mean_2024_2025,abs_delta,pct_delta
Macro_Fast,-0.034710049064121014,-0.35679770839039177,0.32208765932627076,-927.9
BB_PctB,0.5844956959449379,0.6655110059595934,0.08101531001465556,13.9
Price_Over_EMA200,1.0664334654202872,1.1212200650251585,0.05478659960487131,5.1
Pct_From_AllTimeHigh,0.06736548282883488,0.02289764151627387,0.04446784131256101,-66.0
Bull_Trend,0.048616186723198715,0.08344435372911181,0.0348281670059131,71.6
Volume_Percentile,0.5004351395730706,0.5230114722753345,0.02257633270226389,4.5
Price_Over_EMA50,1.0165058285964732,1.0345776696927913,0.018071841096318098,1.8
Return_ZScore,0.0018165457583692822,0.01612376967804896,0.014307223919679679,787.6
LogReturn_ZScore,0.001845868163166003,0.016148050870846403,0.0143021827076804,774.8
Return_Percentile,0.5065353037766831,0.5134034416826003,0.0068681379059172265,1.4
MACD_Signal_Norm,0.004272293229243846,0.00942079470041979,0.0051485014711759435,120.5
Log_Returns,0.0006728093080429768,0.001416215250114723,0.0007434059420717462,110.5
Close_Returns,0.0007533101894784918,0.0014788706238099514,0.0007255604343314596,96.3
USDJPY_Returns,-0.00010436479376601641,0.00021187267040475728,0.0003162374641707737,303.0
EURUSD_Returns,7.744197485368509e-05,0.00012348010306410839,4.60381282104233e-05,59.4
