feature,gain
Macro_Fast,0.0012158852110556052
Market_State,0.000571251123943739
Close_XAUUSD,0.00014660399756394327
LogReturn_ZScore,0.00012833706296078162
Close_Returns,0.00010677901444466897
Return_ZScore,0.00010616955160003272
Close_USDJPY,9.327630868938286e-05
Log_Returns,5.199810220801737e-05
BB_Middle,1.9434890475622524e-05
Return_Percentile,1.0858801221758085e-05
MACD_Signal,3.716619971783075e-07
Distance_From_AllTimeHigh,0.0
Close_EURUSD,0.0
Pct_From_AllTimeHigh,0.0
Volume_Percentile,0.0
