Date,Market_State,pred_z,regime_weight,pred_z_weighted,raw_signal,signal,hold_day,position,y_next_log_return,strategy_ret,equity
2023-01-02,bull_risk_on,-0.9339024244069772,0.0,-0.0,0,0,0,-4.904651920246987e-23,0.0109308628052787,0.0,1.0
2023-01-03,bull_risk_on,-1.0190989952437743,0.0,-0.0,0,0,0,-1.961860768098795e-23,0.0070955466281752,-3.627258197115562e-25,1.0
2023-01-04,bull_risk_on,-1.019228728695276,0.0,-0.0,0,0,0,-7.84744307239518e-24,-0.0097625243962106,1.8564155380103314e-25,1.0
2023-01-05,bull_risk_on,0.9924890983752113,0.0,0.0,0,0,0,-3.1389772289580725e-24,0.0158964699133985,-1.2710087561915602e-25,1.0
2023-01-06,bull_risk_on,3.4866558961817686,0.0,0.0,0,0,0,-1.255590891583229e-24,0.0,-9.416931686874217e-28,1.0
2023-01-07,bull_risk_on,-0.9700291012787065,0.0,-0.0,0,0,0,-5.022363566332917e-25,0.0,-3.7667726747496872e-28,1.0
2023-01-08,bull_risk_on,-0.9654588767545647,0.0,-0.0,0,0,0,-2.0089454265331669e-25,0.0045492332587098,-2.435461244319394e-27,1.0
2023-01-09,bull_risk_on,-0.9925035705277541,0.0,-0.0,0,0,0,-8.035781706132668e-26,-0.0005875464322245,5.776650899333384e-29,1.0
2023-01-10,bull_risk_on,-0.9530692664069358,0.0,-0.0,0,0,0,-3.2143126824530676e-26,0.0016016233408458,-1.5281030054323568e-28,1.0
2023-01-11,bull_risk_on,-0.8742185902095253,0.0,-0.0,0,0,0,-1.285725072981227e-26,0.0110873654467353,-3.6602553175169117e-28,1.0
2023-01-12,bull_risk_on,1.8706020813865412,0.0,0.0,0,0,0,-5.1429002919249085e-27,0.0120088618272856,-1.5825812271202618e-28,1.0
2023-01-13,bull_risk_on,-0.9930172717448761,0.0,-0.0,0,0,0,-2.0571601167699637e-27,0.0,-1.5428700875774724e-30,1.0
2023-01-14,bull_risk_on,-0.9511599858822221,0.0,-0.0,0,0,0,-8.228640467079856e-28,0.0,-6.17148035030989e-31,1.0
2023-01-15,bull_risk_on,-0.9442002568286499,0.0,-0.0,0,0,0,-3.2914561868319427e-28,0.0,-2.468592140123957e-31,1.0
2023-01-16,bull_risk_on,-0.9372907321240259,0.0,-0.0,0,0,0,-1.3165824747327771e-28,-0.0058553456047588,1.828517666077299e-30,1.0
2023-01-17,bull_risk_on,0.8108419392060833,0.0,0.0,0,0,0,-5.266329898931108e-29,-0.001469161256158,1.5392972199941823e-31,1.0
2023-01-18,bull_risk_on,2.269856874065191,0.0,0.0,0,0,0,-2.1065319595724435e-29,0.0092513149039842,-5.03003752529583e-31,1.0
2023-01-19,bull_risk_on,-0.9479547935422452,0.0,-0.0,0,0,0,-8.426127838289774e-30,0.0022346627462311,-5.33934808167347e-32,1.0
2023-01-20,bull_risk_on,-0.9471268298665998,0.0,-0.0,0,0,0,-3.3704511353159096e-30,0.0,-2.5278383514869326e-33,1.0
2023-01-21,bull_risk_on,-0.9125642203000821,0.0,-0.0,0,0,0,-1.3481804541263639e-30,0.0,-1.0111353405947729e-33,1.0
2023-01-22,bull_risk_on,-0.9057714146078428,0.0,-0.0,0,0,0,-5.392721816505456e-31,0.0003632811769548,-8.942227183603913e-34,1.0
2023-01-23,bull_risk_on,-0.9526161580833695,0.0,-0.0,0,0,0,-2.1570887266021824e-31,0.0035224320284798,-2.061331259209222e-33,1.0
2023-01-24,bull_risk_on,0.5014588732498272,0.0,0.0,0,0,0,-8.62835490640873e-32,0.003767611510534,-8.774198933570166e-34,1.0
