,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
BB_Middle,0.00015508653729226496,0.00025018655469466466,0.005204291965116681,0.0038182155609867152,0.0016829528849484632
Close_EURUSD,0.001916856093149322,6.530008289473699e-05,0.0033276677539815225,0.004174789979951021,0.0010157841670661583
Close_Returns,0.0,0.0004509346981649287,0.002965978156462601,0.006323732294369222,0.0028582365048350766
Close_USDJPY,0.0,0.0,0.001017642180954681,0.003955599108365959,0.003111616552850194
Close_XAUUSD,5.567370067183219e-06,0.0003926431072613923,0.004747002519173149,0.006207218273921455,0.003086079475679071
Distance_From_AllTimeHigh,0.0,0.0,0.00018007915332418634,0.0007195487977679216,0.002779485392125025
LogReturn_ZScore,0.0003052187182709942,0.0007037637042230926,0.0024633239808704854,0.0021243743239144353,0.0015881254234955122
Log_Returns,0.0,0.0,0.000300946784932421,0.0003658235232464335,0.0
MACD_Signal,0.000695557755349796,0.0003602758988563437,0.0022708361706076374,0.007805494419860176,0.005149155052549759
Macro_Fast,1.303892770626201e-05,0.0019570886786368646,0.00822465255554153,0.014211202605788589,0.006065143504011772
Market_State,0.001774241419553027,0.0014643238910423406,0.008530396603744606,0.012355132573314415,0.004863404779825942
Pct_From_AllTimeHigh,0.0,0.0,0.0,1.2706000234175008e-05,0.00025977959839451614
Return_Percentile,0.0006051574488883382,0.0001735499972710386,0.002102642703879276,0.003447852783664121,0.001571404398418963
Return_ZScore,0.0005920178347302851,0.0,0.0004758079630562406,0.002069618969979814,0.0011748300094041042
Volume_Percentile,0.0,0.0,0.0002699111935271503,0.0019591831781440305,0.0013898227051640788
